divorce_date,divorce_type,nationality_man,date_of_birth_man,place_of_birth_man,birth_municipality_man,birth_federal_man,birth_country_man,age_man,residence_municipality_man,residence_federal_man,residence_country_man,monthly_income_man,occupation_man,place_of_residence_man,nationality_woman,date_of_birth_woman,date_of_birth_registration_date_woman,place_of_birth_woman,birth_municipality_woman,birth_federal_woman,birth_country_woman,age_woman,place_of_residence_woman,residence_municipality_woman,residence_federal_woman,residence_country_woman,occupation_woman,monthly_income_woman,date_of_marriage,marriage_certificate_place,marriage_certificate_municipality,marriage_certificate_federal,level_of_education_man,employment_status_man,level_of_education_woman,employment_status_woman,marriage_duration,marriage_duration_months,num_children,custody
07.08.2005,Freiwillig,Russisch,20.07.1981,Köln,Düsseldorf,Leipzig,Deutschland,23.0,Hamburg,Dortmund,Deutschland,,Buchhalter,Hamburg,Bulgarisch,08.10.1984,,Leipzig,Stuttgart,Hamburg,Deutschland,20.0,Frankfurt am Main,Dortmund,Essen,Deutschland,Lehrer,,19.09.2002,Frankfurt am Main,Dortmund,Berlin,Sekundarstufe,Angestellter,Sekundarstufe,TRABAJADOR NO REMUNERADO,,,,
07.08.2008,Notwendig,Polnisch,05.09.2064,Hamburg,Stuttgart,Essen,Deutschland,44.0,Düsseldorf,Essen,Deutschland,7000.0,Buchhalter,Berlin,Polnisch,07.05.2071,,München,Köln,Berlin,Deutschland,37.0,Hamburg,Stuttgart,Düsseldorf,Deutschland,Lehrer,8000.0,23.11.1991,Stuttgart,Hamburg,Leipzig,Beruflich,Angestellter,Beruflich,Angestellter,16.0,,2.0,Mutter
07.08.2008,Notwendig,Griechisch,24.01.2070,Stuttgart,Düsseldorf,Dortmund,Deutschland,38.0,Leipzig,Düsseldorf,Deutschland,6000.0,Mechaniker,Frankfurt am Main,Polnisch,18.01.2067,,Frankfurt am Main,Essen,Köln,Deutschland,41.0,München,Berlin,Köln,Deutschland,Koch,,12.06.2003,Berlin,Stuttgart,Leipzig,Sekundarstufe,Angestellter,PRIMARIA,Nicht beschäftigt,3.0,,1.0,Mutter
07.08.2009,Notwendig,Rumänisch,15.02.2058,Essen,Essen,Düsseldorf,Deutschland,51.0,Berlin,Leipzig,Deutschland,5000.0,Ingenieur,Hamburg,Spanisch,05.01.2055,,Stuttgart,Dortmund,Düsseldorf,Deutschland,54.0,München,Köln,Essen,Deutschland,Arzt,5000.0,07.10.1980,Leipzig,Berlin,Berlin,Sekundarstufe,Angestellter,Vorbereitungsstufe,Angestellter,28.0,,3.0,Mutter
07.08.2010,Freiwillig,Bulgarisch,28.04.1978,Essen,München,Frankfurt am Main,Deutschland,32.0,Stuttgart,Köln,Deutschland,15000.0,Buchhalter,Essen,Deutsch,05.01.1979,14/7/79,Frankfurt am Main,Leipzig,Dortmund,Deutschland,31.0,Essen,Berlin,Köln,Deutschland,Softwareentwickler,8000.0,12.10.2005,München,Stuttgart,München,Beruflich,Angestellter,Beruflich,Angestellter,4.0,,,
07.08.2011,Freiwillig,Italienisch,04.07.1978,Berlin,Düsseldorf,Köln,Deutschland,33.0,Leipzig,Frankfurt am Main,Deutschland,10000.0,Ingenieur,Leipzig,Rumänisch,13.01.1977,29/7/77,Düsseldorf,Köln,Köln,Deutschland,34.0,Köln,Dortmund,Köln,Deutschland,Lehrer,10000.0,20.05.2006,Berlin,Stuttgart,München,Beruflich,Angestellter,Beruflich,Angestellter,5.0,,,
07.08.2014,Freiwillig,Russisch,27.10.2061,Stuttgart,Köln,Leipzig,Deutschland,52.0,Dortmund,Berlin,Deutschland,8200.0,Softwareentwickler,Frankfurt am Main,Spanisch,13.09.2064,6/9/68,Stuttgart,Berlin,München,Deutschland,49.0,Dortmund,München,Hamburg,Deutschland,Mechaniker,10000.0,24.01.1986,Düsseldorf,Dortmund,Leipzig,Beruflich,Angestellter,Beruflich,Angestellter,28.0,,1.0,
07.08.2014,Notwendig,Deutsch,01.11.1982,Düsseldorf,München,Dortmund,Deutschland,32.0,Frankfurt am Main,Düsseldorf,Deutschland,,Buchhalter,München,Spanisch,30.05.1983,,Berlin,Frankfurt am Main,Hamburg,Deutschland,31.0,Stuttgart,München,Dortmund,Deutschland,Ingenieur,14000.0,19.06.2004,Berlin,München,Leipzig,,,Beruflich,Angestellter,9.0,,1.0,Mutter
08.08.2003,Freiwillig,Italienisch,18.08.2070,Leipzig,Leipzig,Dortmund,Deutschland,32.0,Berlin,Frankfurt am Main,Deutschland,2800.0,Softwareentwickler,Köln,Rumänisch,11.12.1974,14/1/75,Stuttgart,München,Essen,Deutschland,28.0,Düsseldorf,Berlin,Leipzig,Deutschland,Ingenieur,3000.0,02.02.1998,Essen,Hamburg,Leipzig,Sekundarstufe,Angestellter,Vorbereitungsstufe,Angestellter,5.0,6.0,,
08.08.2011,Freiwillig,Italienisch,06.05.1976,München,Hamburg,Hamburg,Deutschland,35.0,Hamburg,München,Deutschland,17000.0,Softwareentwickler,München,Türkisch,21.11.1979,12/1/80,Essen,Köln,Hamburg,Deutschland,31.0,Hamburg,Leipzig,Berlin,Deutschland,Softwareentwickler,22000.0,21.07.2009,Dortmund,Leipzig,Hamburg,Beruflich,Angestellter,Beruflich,Angestellter,1.0,1.0,,
08.08.2011,Freiwillig,Türkisch,09.05.1985,Leipzig,Hamburg,Frankfurt am Main,Deutschland,25.0,Frankfurt am Main,Düsseldorf,Deutschland,4500.0,Koch,Leipzig,Kroatisch,07.12.1983,08/08/1883,Berlin,Dortmund,Frankfurt am Main,Deutschland,28.0,Essen,Essen,München,Deutschland,Arzt,1000.0,23.03.2005,Berlin,Dortmund,München,Vorbereitungsstufe,Angestellter,Beruflich,Angestellter,5.0,,,
08.08.2012,Freiwillig,Rumänisch,09.01.2051,Stuttgart,Düsseldorf,Essen,Deutschland,60.0,Köln,München,Deutschland,26000.0,Ingenieur,Düsseldorf,Italienisch,11.12.1986,20/12/86,Essen,Köln,Frankfurt am Main,Deutschland,25.0,Hamburg,Berlin,München,Deutschland,Krankenpfleger,2600.0,15.03.2008,München,Stuttgart,Leipzig,Beruflich,Angestellter,Beruflich,Angestellter,4.0,4.0,,
08.08.2012,Notwendig,Kroatisch,20.12.2062,Essen,Hamburg,Stuttgart,Deutschland,49.0,Stuttgart,Hamburg,Deutschland,3000.0,Mechaniker,Köln,Bulgarisch,01.08.1976,,Stuttgart,München,Essen,Deutschland,36.0,Dortmund,Köln,München,Deutschland,Softwareentwickler,,30.10.2003,Frankfurt am Main,Berlin,Frankfurt am Main,Vorbereitungsstufe,Angestellter,Vorbereitungsstufe,Angestellter,7.0,,,
08.08.2013,Freiwillig,Griechisch,28.01.1980,Frankfurt am Main,Stuttgart,Leipzig,Deutschland,33.0,Dortmund,Hamburg,Deutschland,,Arzt,Düsseldorf,Griechisch,17.12.1982,9/2/83,Leipzig,Hamburg,Hamburg,Deutschland,30.0,Frankfurt am Main,Essen,Leipzig,Deutschland,Lehrer,,19.09.2011,München,Dortmund,Frankfurt am Main,,,,,2.0,,,
08.08.2013,Notwendig,Bulgarisch,,Essen,Essen,Köln,Deutschland,48.0,Frankfurt am Main,München,Deutschland,,Buchhalter,Leipzig,Polnisch,,,Düsseldorf,Dortmund,Leipzig,Deutschland,46.0,,,,,Rechtsanwalt,,26.10.1989,Dortmund,Hamburg,Frankfurt am Main,,,,,10.0,,2.0,PADRE
08.08.2014,Freiwillig,Kroatisch,07.07.1983,Düsseldorf,München,Dortmund,Deutschland,31.0,Berlin,Frankfurt am Main,Deutschland,5000.0,Ingenieur,Hamburg,Griechisch,03.09.1986,24/3/86,Stuttgart,München,Köln,Deutschland,28.0,Berlin,München,München,Deutschland,Buchhalter,5000.0,21.12.2012,Dortmund,Essen,Köln,Beruflich,Angestellter,Beruflich,Angestellter,1.0,,,
09.08.2003,Notwendig,Rumänisch,03.08.2048,Leipzig,Düsseldorf,München,ESTADOS UNIDOS DE AMERICA,55.0,Hamburg,Stuttgart,Deutschland,8000.0,Arzt,Düsseldorf,Kroatisch,,,,,,,,,,,,,,27.04.1988,Hamburg,Köln,Essen,Beruflich,Angestellter,,,15.0,4.0,,
09.08.2004,Freiwillig,Kroatisch,14.05.2073,Berlin,Berlin,Dortmund,Deutschland,31.0,Berlin,Leipzig,Deutschland,2000.0,Lehrer,Dortmund,Deutsch,24.01.2072,23/4/72,Köln,Berlin,Leipzig,Deutschland,32.0,München,Hamburg,Leipzig,Deutschland,Verkäufer,2000.0,17.08.1992,Hamburg,Düsseldorf,Düsseldorf,Sekundarstufe,Angestellter,Vorbereitungsstufe,Angestellter,12.0,,,
09.08.2004,Freiwillig,Deutsch,30.01.2062,Düsseldorf,Düsseldorf,Köln,Deutschland,42.0,Stuttgart,Berlin,Deutschland,10000.0,Koch,München,Rumänisch,08.04.2064,17/12/64,Frankfurt am Main,Düsseldorf,Dortmund,Deutschland,40.0,Dortmund,Dortmund,München,Deutschland,Arzt,500.0,22.12.1982,München,Köln,Stuttgart,Beruflich,Angestellter,Vorbereitungsstufe,,21.0,8.0,3.0,Mutter
09.08.2008,Notwendig,Polnisch,24.08.2068,Köln,Köln,Dortmund,Deutschland,40.0,Düsseldorf,Leipzig,Deutschland,2000.0,Koch,Köln,Deutsch,13.07.2065,,Dortmund,München,München,Deutschland,43.0,Berlin,Stuttgart,Stuttgart,Deutschland,Krankenpfleger,3500.0,11.08.1990,Frankfurt am Main,Berlin,Berlin,Beruflich,Angestellter,Vorbereitungsstufe,Angestellter,16.0,,2.0,Mutter
09.08.2008,Notwendig,Spanisch,27.04.2053,Leipzig,Düsseldorf,Frankfurt am Main,Deutschland,55.0,Berlin,Frankfurt am Main,Deutschland,4000.0,Lehrer,Dortmund,Kroatisch,15.06.2061,,Dortmund,Dortmund,Köln,Deutschland,47.0,Stuttgart,Stuttgart,Leipzig,Deutschland,Koch,20000.0,21.06.1985,Hamburg,Düsseldorf,Dortmund,Beruflich,Angestellter,Beruflich,Angestellter,22.0,,3.0,Mutter
09.08.2008,Notwendig,Polnisch,24.04.2051,Frankfurt am Main,Köln,Düsseldorf,Deutschland,57.0,München,Berlin,Deutschland,,Softwareentwickler,Köln,Rumänisch,03.04.2058,,Düsseldorf,München,Düsseldorf,Deutschland,50.0,Essen,Hamburg,Düsseldorf,Deutschland,Rechtsanwalt,15000.0,12.08.1984,Düsseldorf,Frankfurt am Main,Hamburg,Beruflich,Angestellter,Beruflich,Angestellter,23.0,,2.0,Mutter
09.08.2011,Notwendig,Spanisch,01.07.2069,Düsseldorf,Hamburg,Leipzig,Deutschland,42.0,Frankfurt am Main,Düsseldorf,Deutschland,,Krankenpfleger,Essen,Polnisch,30.08.2068,,Hamburg,Essen,Leipzig,Deutschland,43.0,München,Hamburg,Essen,Deutschland,Softwareentwickler,6000.0,17.12.1993,Dortmund,Dortmund,Berlin,Beruflich,Angestellter,Beruflich,Angestellter,18.0,,2.0,Mutter
09.08.2011,Freiwillig,Russisch,25.12.1979,Hamburg,Frankfurt am Main,Stuttgart,Deutschland,31.0,Berlin,Düsseldorf,Deutschland,4000.0,Arzt,München,Italienisch,25.03.1982,24/5/82,Essen,Stuttgart,Frankfurt am Main,Deutschland,29.0,Hamburg,Hamburg,Stuttgart,Deutschland,Softwareentwickler,5000.0,12.09.2005,Dortmund,Dortmund,Köln,Sekundarstufe,Angestellter,Beruflich,Angestellter,5.0,,,
09.08.2011,Notwendig,Bulgarisch,17.10.1980,München,Berlin,Düsseldorf,Deutschland,30.0,Dortmund,Hamburg,Deutschland,8000.0,Ingenieur,Frankfurt am Main,Deutsch,24.06.1981,,Berlin,Köln,München,Deutschland,30.0,Essen,Berlin,Köln,Deutschland,Ingenieur,,13.02.2001,Düsseldorf,Frankfurt am Main,Hamburg,Beruflich,Angestellter,Vorbereitungsstufe,Nicht beschäftigt,10.0,,4.0,Mutter
09.08.2014,Notwendig,Türkisch,02.11.2070,Dortmund,München,Stuttgart,Deutschland,44.0,Essen,Essen,Deutschland,5000.0,Arzt,Essen,Türkisch,22.11.2069,,Frankfurt am Main,Berlin,Leipzig,Deutschland,44.0,,,,,Rechtsanwalt,,13.04.1999,Essen,München,Stuttgart,Beruflich,Angestellter,Sekundarstufe,Nicht beschäftigt,7.0,,2.0,
10.08.2001,Notwendig,Griechisch,,Dortmund,Leipzig,Hamburg,Deutschland,31.0,Düsseldorf,Dortmund,Deutschland,,Mechaniker,Leipzig,Deutsch,03.06.2070,13/4/70,Stuttgart,Hamburg,Köln,Deutschland,31.0,München,Köln,Hamburg,Deutschland,Verkäufer,2100.0,27.02.1993,Düsseldorf,Berlin,Köln,Beruflich,Angestellter,Vorbereitungsstufe,Angestellter,8.0,9.0,1.0,Mutter
10.08.2001,Freiwillig,Russisch,09.10.2058,Hamburg,Hamburg,Hamburg,Deutschland,43.0,Berlin,Hamburg,Deutschland,20000.0,Arzt,Düsseldorf,Deutsch,24.01.2051,18/4/51,Essen,Leipzig,Dortmund,Deutschland,50.0,Berlin,Stuttgart,Düsseldorf,Deutschland,Koch,12000.0,16.03.1991,Frankfurt am Main,Düsseldorf,Dortmund,Beruflich,Einrichtung,Beruflich,Einrichtung,10.0,7.0,1.0,Mutter
10.08.2002,Freiwillig,Kroatisch,02.10.2064,Dortmund,Stuttgart,Berlin,Deutschland,38.0,Köln,Düsseldorf,Deutschland,2000.0,Mechaniker,Berlin,Kroatisch,21.07.2064,5/9/64,München,Düsseldorf,Hamburg,Deutschland,38.0,Düsseldorf,Stuttgart,Dortmund,Deutschland,Lehrer,4000.0,11.11.1987,Leipzig,Dortmund,Düsseldorf,Beruflich,TRABAJADOR POR SU PROPIA CUENTA O EN VIA PUBLICA,Beruflich,Einrichtung,,10.0,2.0,Mutter
10.08.2004,Freiwillig,Rumänisch,08.05.2064,Köln,München,Stuttgart,Deutschland,40.0,Frankfurt am Main,Berlin,Deutschland,29000.0,Lehrer,Köln,Kroatisch,30.12.2068,10/7/69,Stuttgart,Leipzig,Düsseldorf,Deutschland,35.0,Essen,Düsseldorf,Leipzig,Deutschland,Rechtsanwalt,12000.0,29.06.2002,Düsseldorf,München,München,Beruflich,Angestellter,Beruflich,Angestellter,2.0,4.0,,
10.08.2008,Notwendig,Kroatisch,,Essen,Frankfurt am Main,Leipzig,Deutschland,42.0,Leipzig,München,Deutschland,,Rechtsanwalt,Dortmund,Griechisch,,,München,München,Frankfurt am Main,Deutschland,47.0,Düsseldorf,Frankfurt am Main,Frankfurt am Main,Deutschland,Rechtsanwalt,,20.03.1989,Hamburg,Essen,Stuttgart,Beruflich,Angestellter,Beruflich,Nicht beschäftigt,19.0,,2.0,Mutter
10.08.2008,Notwendig,Griechisch,31.12.2072,Dortmund,Düsseldorf,Köln,Deutschland,35.0,Hamburg,Köln,Deutschland,10000.0,Ingenieur,München,Griechisch,19.04.2073,,Stuttgart,Düsseldorf,Köln,Deutschland,35.0,Hamburg,Frankfurt am Main,Düsseldorf,Deutschland,Rechtsanwalt,14000.0,12.11.1995,Köln,Hamburg,Leipzig,Beruflich,Angestellter,Beruflich,Angestellter,12.0,,2.0,Mutter
10.08.2008,Notwendig,Griechisch,22.04.2065,Frankfurt am Main,Frankfurt am Main,Hamburg,Deutschland,43.0,Leipzig,Leipzig,Deutschland,,Softwareentwickler,Dortmund,Bulgarisch,12.03.2072,,Berlin,Köln,Köln,Deutschland,35.0,Berlin,Leipzig,Dortmund,Deutschland,Verkäufer,,20.08.1993,Hamburg,Berlin,München,Beruflich,Angestellter,Vorbereitungsstufe,Nicht beschäftigt,12.0,,1.0,Mutter
10.08.2008,Notwendig,Kroatisch,26.09.2072,Stuttgart,München,Frankfurt am Main,Deutschland,36.0,Essen,Dortmund,Deutschland,2400.0,Arzt,München,Deutsch,21.02.1976,,Berlin,Stuttgart,Hamburg,Deutschland,32.0,München,Hamburg,Düsseldorf,Deutschland,Softwareentwickler,,20.12.1995,Leipzig,Dortmund,Leipzig,Vorbereitungsstufe,Angestellter,Vorbereitungsstufe,Angestellter,6.0,,1.0,Mutter
10.08.2012,Notwendig,Rumänisch,,Köln,Dortmund,Berlin,Deutschland,43.0,Stuttgart,Dortmund,Deutschland,,Koch,Frankfurt am Main,Russisch,,,Düsseldorf,Leipzig,Berlin,Deutschland,38.0,München,Frankfurt am Main,Dortmund,Deutschland,Ingenieur,,20.12.1999,Köln,Stuttgart,Dortmund,Beruflich,Angestellter,Beruflich,Nicht beschäftigt,12.0,,1.0,Mutter
10.08.2012,Notwendig,Rumänisch,16.05.1986,Frankfurt am Main,München,Dortmund,Deutschland,26.0,München,Frankfurt am Main,Deutschland,3000.0,Softwareentwickler,Berlin,Rumänisch,20.09.1987,,Frankfurt am Main,Essen,Köln,Deutschland,25.0,Stuttgart,Leipzig,München,Deutschland,Lehrer,,17.10.2008,Düsseldorf,Stuttgart,Leipzig,Vorbereitungsstufe,Angestellter,Vorbereitungsstufe,Nicht beschäftigt,3.0,,1.0,Mutter
10.08.2012,Notwendig,Türkisch,04.11.2070,Köln,Berlin,Düsseldorf,Deutschland,42.0,Essen,Dortmund,Deutschland,5000.0,Arzt,Köln,Polnisch,27.01.1976,,Hamburg,Düsseldorf,Stuttgart,Deutschland,36.0,München,Frankfurt am Main,Stuttgart,Deutschland,Ingenieur,5000.0,15.11.1994,Essen,Köln,Köln,Sekundarstufe,Angestellter,Beruflich,Angestellter,16.0,,2.0,Mutter
10.08.2013,Notwendig,Kroatisch,,Leipzig,Leipzig,Hamburg,Deutschland,50.0,,,,,Verkäufer,,Polnisch,,,Berlin,Hamburg,Frankfurt am Main,Deutschland,47.0,,,,,Rechtsanwalt,,06.07.1986,Hamburg,Stuttgart,München,,,,PATRON O EMPRESARIO,,,,
10.08.2014,Freiwillig,Kroatisch,02.11.2058,Berlin,Stuttgart,München,Deutschland,56.0,Frankfurt am Main,Stuttgart,Deutschland,,Softwareentwickler,Leipzig,Russisch,01.12.1975,8/4/75,Essen,Stuttgart,Frankfurt am Main,Deutschland,39.0,Berlin,Berlin,Hamburg,Deutschland,Rechtsanwalt,,18.12.2009,Berlin,Frankfurt am Main,Berlin,PRIMARIA,Angestellter,Sekundarstufe,Angestellter,4.0,8.0,,
11.08.2001,Freiwillig,Italienisch,03.03.2067,Berlin,Essen,Essen,Deutschland,34.0,Berlin,Dortmund,Deutschland,16000.0,Lehrer,Stuttgart,Italienisch,06.03.2071,10/8/71,Leipzig,Berlin,München,Deutschland,30.0,Hamburg,Essen,Berlin,Deutschland,Lehrer,5000.0,06.03.1989,Leipzig,Leipzig,Frankfurt am Main,Vorbereitungsstufe,Angestellter,Vorbereitungsstufe,Angestellter,12.0,5.0,2.0,OTRO
11.08.2002,Freiwillig,Polnisch,22.09.2064,Frankfurt am Main,Düsseldorf,Dortmund,Deutschland,38.0,Dortmund,München,Deutschland,10000.0,Lehrer,Leipzig,Türkisch,04.09.2068,21/5/68,Düsseldorf,München,Berlin,Deutschland,34.0,Frankfurt am Main,Frankfurt am Main,Frankfurt am Main,Deutschland,Koch,,23.11.1996,Frankfurt am Main,München,Frankfurt am Main,Beruflich,Einrichtung,Beruflich,Einrichtung,5.0,11.0,,
11.08.2002,Freiwillig,Bulgarisch,02.12.2059,Leipzig,Frankfurt am Main,Leipzig,Deutschland,43.0,Frankfurt am Main,Köln,Deutschland,3000.0,Buchhalter,Berlin,Bulgarisch,05.06.2059,11/5/59,Berlin,Köln,Hamburg,Deutschland,43.0,Essen,Dortmund,Leipzig,Deutschland,Krankenpfleger,2600.0,08.01.1981,Berlin,Köln,Düsseldorf,Vorbereitungsstufe,Angestellter,Vorbereitungsstufe,Angestellter,21.0,3.0,2.0,Mutter
11.08.2002,Freiwillig,Spanisch,23.03.2059,Düsseldorf,Hamburg,Leipzig,Deutschland,43.0,Essen,München,Deutschland,1500.0,Koch,Essen,Spanisch,10.02.2054,12/11/54,Dortmund,Köln,Leipzig,Deutschland,48.0,Essen,Köln,Leipzig,Deutschland,Buchhalter,1500.0,10.05.1985,München,Frankfurt am Main,Düsseldorf,Vorbereitungsstufe,Einrichtung,Vorbereitungsstufe,Angestellter,17.0,1.0,1.0,Mutter
11.08.2002,Freiwillig,Türkisch,29.09.2072,München,Hamburg,Stuttgart,Deutschland,30.0,München,Hamburg,Deutschland,1600.0,Koch,Düsseldorf,Bulgarisch,11.08.2070,8/12/70,Leipzig,Leipzig,Stuttgart,Deutschland,31.0,München,Leipzig,Hamburg,Deutschland,Buchhalter,1550.0,12.07.1992,Essen,Berlin,Düsseldorf,Vorbereitungsstufe,Angestellter,Sekundarstufe,Angestellter,9.0,11.0,2.0,Mutter
11.08.2006,Notwendig,Deutsch,22.09.2059,Dortmund,Dortmund,Stuttgart,Deutschland,47.0,Frankfurt am Main,Essen,Deutschland,6000.0,,Düsseldorf,Bulgarisch,12.02.2061,,Dortmund,Leipzig,Essen,Deutschland,44.0,Stuttgart,Köln,Dortmund,Deutschland,,15000.0,03.07.1989,München,Düsseldorf,Stuttgart,Vorbereitungsstufe,Angestellter,Beruflich,Angestellter,5.0,,2.0,
11.08.2007,Notwendig,Bulgarisch,14.09.2068,Stuttgart,Hamburg,Hamburg,Deutschland,39.0,Leipzig,Köln,Deutschland,3000.0,Softwareentwickler,Köln,Deutsch,31.05.1978,,Düsseldorf,Frankfurt am Main,Hamburg,Deutschland,29.0,München,München,Köln,Deutschland,Krankenpfleger,4000.0,31.10.1998,München,Hamburg,Essen,Beruflich,Angestellter,,Angestellter,9.0,,1.0,Mutter
11.08.2010,Notwendig,Türkisch,03.12.1984,Hamburg,Düsseldorf,Hamburg,Deutschland,26.0,Stuttgart,Hamburg,Deutschland,10500.0,Softwareentwickler,Düsseldorf,Kroatisch,04.05.1984,,Essen,Stuttgart,Düsseldorf,Deutschland,26.0,Leipzig,Berlin,Essen,Deutschland,Lehrer,3000.0,19.12.2008,Leipzig,München,Köln,Beruflich,Angestellter,Beruflich,Angestellter,26.0,,1.0,
11.08.2012,Freiwillig,Türkisch,31.05.2053,Hamburg,Hamburg,Stuttgart,Deutschland,59.0,Stuttgart,Berlin,Deutschland,,Buchhalter,Essen,Polnisch,03.11.2064,3/2/73,Düsseldorf,Hamburg,Frankfurt am Main,Deutschland,48.0,Frankfurt am Main,Frankfurt am Main,Düsseldorf,Deutschland,Buchhalter,,12.04.2073,Berlin,Köln,Frankfurt am Main,Sekundarstufe,Arbeiter,Beruflich,Angestellter,37.0,,3.0,
11.08.2013,Freiwillig,Rumänisch,01.12.1974,Berlin,Stuttgart,Stuttgart,Deutschland,39.0,Dortmund,Hamburg,Deutschland,33000.0,Verkäufer,Leipzig,Kroatisch,02.02.1974,5/10/83,Köln,München,Dortmund,Deutschland,39.0,Frankfurt am Main,Berlin,Berlin,Deutschland,Verkäufer,7900.0,19.12.2003,Hamburg,Berlin,Berlin,Beruflich,Angestellter,Beruflich,Angestellter,9.0,,,
11.08.2013,Freiwillig,Türkisch,20.02.2066,Leipzig,Köln,Hamburg,Deutschland,47.0,Frankfurt am Main,Köln,Deutschland,2000.0,Rechtsanwalt,Leipzig,Griechisch,04.03.2069,15/5/69,München,Frankfurt am Main,Düsseldorf,Deutschland,44.0,Berlin,Köln,Düsseldorf,Deutschland,Rechtsanwalt,2600.0,08.10.1993,Stuttgart,Köln,Hamburg,PRIMARIA,Arbeiter,Vorbereitungsstufe,Angestellter,12.0,,1.0,
12.08.2000,Freiwillig,Türkisch,04.04.2058,Köln,Leipzig,Stuttgart,Deutschland,42.0,Düsseldorf,Dortmund,Deutschland,6000.0,Buchhalter,Köln,Russisch,10.05.2063,16/11/63,München,Köln,München,Deutschland,37.0,Köln,Köln,Düsseldorf,Deutschland,Rechtsanwalt,3500.0,17.04.1999,Düsseldorf,Essen,Köln,Beruflich,Angestellter,,PATRON O EMPRESARIO,1.0,,,
12.08.2000,Freiwillig,Türkisch,01.04.2070,Dortmund,München,Stuttgart,Deutschland,30.0,Berlin,Dortmund,Deutschland,5000.0,Ingenieur,München,Türkisch,21.05.2066,16/7/66,Düsseldorf,München,Hamburg,Deutschland,34.0,Leipzig,Dortmund,Frankfurt am Main,Deutschland,Lehrer,5600.0,28.02.1998,Frankfurt am Main,Essen,Berlin,Beruflich,Arbeiter,Beruflich,Angestellter,1.0,9.0,1.0,Mutter
12.08.2000,Freiwillig,Kroatisch,09.03.2058,Düsseldorf,Berlin,Berlin,Deutschland,42.0,Köln,Hamburg,Deutschland,10000.0,Mechaniker,Düsseldorf,Italienisch,29.12.2067,11/6/69,Essen,Hamburg,Hamburg,Deutschland,32.0,Frankfurt am Main,Dortmund,Stuttgart,Deutschland,Verkäufer,,22.08.1989,Frankfurt am Main,München,Hamburg,,Angestellter,,Nicht beschäftigt,11.0,,3.0,Mutter
12.08.2000,Freiwillig,Polnisch,16.09.2056,Dortmund,Berlin,Köln,Deutschland,44.0,Stuttgart,München,Deutschland,4000.0,Krankenpfleger,Leipzig,Deutsch,15.12.2066,24/1/67,Essen,Düsseldorf,Hamburg,Deutschland,33.0,Leipzig,Berlin,München,Deutschland,Rechtsanwalt,18000.0,07.08.1994,Stuttgart,Düsseldorf,Frankfurt am Main,Beruflich,Einrichtung,Beruflich,Angestellter,6.0,,1.0,Mutter
12.08.2004,Freiwillig,Polnisch,18.01.2071,Köln,Essen,Hamburg,Deutschland,33.0,Dortmund,Essen,Deutschland,1200.0,Buchhalter,Hamburg,Türkisch,31.07.1978,8/9/78,Stuttgart,Berlin,Köln,Deutschland,26.0,Stuttgart,Düsseldorf,Hamburg,Deutschland,Softwareentwickler,,07.03.1996,Essen,Leipzig,Dortmund,Beruflich,Angestellter,Vorbereitungsstufe,Nicht beschäftigt,7.0,,3.0,Mutter
12.08.2004,Freiwillig,Italienisch,10.01.2064,Leipzig,Dortmund,Leipzig,Deutschland,40.0,Köln,Essen,Deutschland,12000.0,Krankenpfleger,Düsseldorf,Bulgarisch,29.06.2067,1/7/67,München,Düsseldorf,Stuttgart,Deutschland,37.0,Berlin,Frankfurt am Main,Düsseldorf,Deutschland,Lehrer,,22.10.1992,Essen,Leipzig,Köln,Beruflich,Angestellter,Sekundarstufe,Nicht beschäftigt,12.0,,3.0,Mutter
12.08.2006,Notwendig,Kroatisch,15.12.2064,Hamburg,Hamburg,München,ITALIA,41.0,Hamburg,Hamburg,Deutschland,20000.0,Lehrer,Essen,Spanisch,09.05.2070,,Köln,Frankfurt am Main,Köln,Deutschland,36.0,Dortmund,Frankfurt am Main,Frankfurt am Main,Deutschland,Buchhalter,20000.0,21.08.1993,Stuttgart,Berlin,Berlin,Vorbereitungsstufe,Angestellter,Beruflich,Angestellter,13.0,,2.0,Mutter
12.08.2008,Notwendig,Rumänisch,05.03.2065,München,Hamburg,Essen,Deutschland,43.0,Essen,Stuttgart,Deutschland,4000.0,Ingenieur,Frankfurt am Main,Kroatisch,12.06.2061,,Düsseldorf,Düsseldorf,Stuttgart,Deutschland,47.0,Stuttgart,Berlin,Dortmund,Deutschland,Ingenieur,4000.0,15.11.1994,Frankfurt am Main,Köln,Essen,Beruflich,Angestellter,Beruflich,Angestellter,11.0,,3.0,Mutter
12.08.2008,Notwendig,Italienisch,04.04.2059,Leipzig,Hamburg,Essen,Deutschland,49.0,Essen,Essen,Deutschland,,Mechaniker,Frankfurt am Main,Spanisch,,,Essen,Hamburg,Köln,Deutschland,40.0,Hamburg,München,München,Deutschland,Softwareentwickler,,05.12.1981,Dortmund,Düsseldorf,Düsseldorf,,,,,24.0,,4.0,Mutter
